
2024/01/12 (12:26:30) | ===> btop++ v.1.3.0
2024/01/12 (12:26:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/14 (17:51:54) | ===> btop++ v.1.3.0
2024/01/14 (17:51:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/18 (11:31:30) | ===> btop++ v.1.3.0
2024/01/18 (11:31:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/23 (21:14:53) | ===> btop++ v.1.3.0
2024/01/23 (21:14:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/25 (10:12:13) | ===> btop++ v.1.3.0
2024/01/25 (10:12:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/28 (11:00:40) | ===> btop++ v.1.3.0
2024/01/28 (11:00:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/28 (11:06:10) | ===> btop++ v.1.3.0
2024/01/28 (11:06:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/28 (16:35:46) | ===> btop++ v.1.3.0
2024/01/28 (16:35:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/28 (16:38:43) | ===> btop++ v.1.3.0
2024/01/28 (16:38:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/28 (16:38:50) | ===> btop++ v.1.3.0
2024/01/28 (16:38:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/28 (16:40:19) | ===> btop++ v.1.3.0
2024/01/28 (16:40:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/04 (10:52:27) | ===> btop++ v.1.3.0
2024/02/04 (10:52:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/06 (07:47:21) | ===> btop++ v.1.3.0
2024/02/06 (07:47:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/06 (17:37:32) | ===> btop++ v.1.3.0
2024/02/06 (17:37:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/17 (18:03:16) | ===> btop++ v.1.3.2
2024/02/17 (18:03:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/02 (11:50:13) | ===> btop++ v.1.3.2
2024/03/02 (11:50:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/03 (12:36:38) | ===> btop++ v.1.3.2
2024/03/03 (12:36:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/03 (12:36:38) | WARNING: NVML: Failed to get GPU power usage: No data

2024/03/05 (16:31:25) | ===> btop++ v.1.3.2
2024/03/05 (16:31:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/05 (16:31:25) | WARNING: NVML: Failed to get GPU power usage: No data

2024/03/09 (00:05:45) | ===> btop++ v.1.3.2
2024/03/09 (00:05:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/09 (00:05:45) | WARNING: NVML: Failed to get GPU power usage: No data

2024/03/10 (23:06:07) | ===> btop++ v.1.3.2
2024/03/10 (23:06:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/10 (23:06:07) | WARNING: NVML: Failed to get GPU power usage: No data

2024/03/18 (19:52:22) | ===> btop++ v.1.3.2
2024/03/18 (19:52:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/18 (19:52:22) | WARNING: NVML: Failed to get GPU power usage: No data

2024/03/18 (20:14:16) | ===> btop++ v.1.3.2
2024/03/18 (20:14:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/18 (20:14:16) | WARNING: NVML: Failed to get GPU power usage: No data

2024/03/18 (22:40:25) | ===> btop++ v.1.3.2
